stock,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname,exchDisp,sector,industry,isYahooFinance,prevName,nameChangeDate
ECOO11.SA,SAO,ISHARES ECOOCI,EQUITY,ECOO11.SA,quotes,2000200.0,Equity,iShares Índice Carbono Eficiente (ICO2) Brasil - Fundo de Índice,São Paulo,,,True,,
OFSA3.SA,SAO,OUROFINO S/AON      NM,EQUITY,OFSA3.SA,quotes,2001000.0,Equity,Ouro Fino Saúde Animal Participações S.A.,São Paulo,Healthcare,Drug Manufacturers—Specialty & Generic,True,,
TKNO4.SA,SAO,TEKNO       PN,EQUITY,TKNO4.SA,quotes,2000400.0,Equity,Tekno S.A. Indústria e Comércio,São Paulo,Basic Materials,Steel,True,,
JOPA4.SA,SAO,JOSAPAR     PN,EQUITY,JOPA4.SA,quotes,2000400.0,Equity,JOSAPAR Joaquim Oliveira S.A. Participações,São Paulo,Consumer Defensive,Packaged Foods,True,,
BMTO4.SA,,,,,,,,,,,,,,
OVSA-DEB31B0.SA,,,,,,,,,,,,,,
RUMO9.SA,,,,,,,,,,,,,,
SCLO3F.SA,,,,,,,,,,,,,,
BMTO3.SA,,,,,,,,,,,,,,
OPRE1B.SA,,,,,,,,,,,,,,
UGPA3.SA,SAO,ULTRAPAR    ON      NM,EQUITY,UGPA3.SA,quotes,2039000.0,Equity,Ultrapar Participações S.A.,São Paulo,Energy,Oil & Gas Refining & Marketing,True,,
TIMP3.SA,,,,,,,,,,,,,,
QUAL3.SA,SAO,QUALICORP   ON      NM,EQUITY,QUAL3.SA,quotes,2004100.0,Equity,Qualicorp Consultoria e Corretora de Seguros S.A.,São Paulo,Healthcare,Healthcare Plans,True,,
SINQ11.SA,,,,,,,,,,,,,,
FVPQ11.SA,SAO,FII V PARQUECI,EQUITY,FVPQ11.SA,quotes,2000100.0,Equity,FVPQ - Fii V Parque,São Paulo,Real Estate,REIT—Retail,True,,
QCOM34.SA,SAO,QUALCOMM    DRN,EQUITY,QCOM34.SA,quotes,2002800.0,Equity,QUALCOMM Incorporated,São Paulo,Technology,Semiconductors,True,,
FCCQ11.SA,,,,,,,,,,,,,,
QGEP3.SA,,,,,,,,,,,,,,
QCOM34F.SA,,,,,,,,,,,,,,
QVQP3B.SA,,,,,,,,,,,,,,
TWTR34.SA,,,,,,,,,,,,,,
GGBR4.SA,SAO,GERDAU      PN  EDB N1,EQUITY,GGBR4.SA,quotes,2012100.0,Equity,Gerdau S.A.,São Paulo,Basic Materials,Steel,True,,
SEER3.SA,SAO,SER EDUCA   ON      NM,EQUITY,SEER3.SA,quotes,2002700.0,Equity,Ser Educacional S.A.,São Paulo,Consumer Defensive,Education & Training Services,True,,
VIVT4.SA,,,,,,,,,,,,,,
UTEC34.SA,,,,,,,,,,,,,,
UPSS34.SA,SAO,UPS         DRN,EQUITY,UPSS34.SA,quotes,2000100.0,Equity,"United Parcel Service, Inc.",São Paulo,Industrials,Integrated Freight & Logistics,True,,
UPAC34F.SA,,,,,,,,,,,,,,
UCAS3.SA,SAO,UNICASA     ON      NM,EQUITY,UCAS3.SA,quotes,2000500.0,Equity,Unicasa Indústria de Móveis S.A.,São Paulo,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,,
MGLU3.SA,SAO,MAGAZ LUIZA ON      NM,EQUITY,MGLU3.SA,quotes,2026900.0,Equity,Magazine Luiza S.A.,São Paulo,Consumer Cyclical,Specialty Retail,True,,
GOAU4.SA,SAO,GERDAU MET  PN      N1,EQUITY,GOAU4.SA,quotes,2003000.0,Equity,Metalurgica Gerdau S.A.,São Paulo,Basic Materials,Steel,True,,
VISA34F.SA,,,,,,,,,,,,,,
VISA34.SA,SAO,VISA INC    DRN,EQUITY,VISA34.SA,quotes,2000400.0,Equity,Visa Inc.,São Paulo,Financial Services,Credit Services,True,,
VERZ34F.SA,,,,,,,,,,,,,,
PSVM11.SA,SAO,PORTO VM    TPR,EQUITY,PSVM11.SA,quotes,2000100.0,Equity,Porto Sudeste VM SA,São Paulo,Industrials,Marine Shipping,True,,
IDIV11.SA,,,,,,,,,,,,,,
ECOV-DEB21B0.SA,,,,,,,,,,,,,,
VRTA11.SA,SAO,FII FATOR VECI,EQUITY,VRTA11.SA,quotes,2001000.0,Equity,Fator Veritá Fundo de Investimento Imobiliário - FII,São Paulo,Real Estate,REIT—Diversified,True,,
VALE-DEB84B0.SA,,,,,,,,,,,,,,
ESUT11.SA,,,,,,,,,,,,,,
IBOV11.SA,SAO,IBOVESPA    IBO,EQUITY,IBOV11.SA,quotes,2001300.0,Equity,,São Paulo,,,True,,
AZEV4.SA,SAO,AZEVEDO     PN,EQUITY,AZEV4.SA,quotes,2000700.0,Equity,Azevedo & Travassos S.A.,São Paulo,Industrials,Engineering & Construction,True,,
VALE-DEB81B0.SA,,,,,,,,,,,,,,
